Movie,Year,Genre,PosterURL,R,G,B,HEX,Brightness
Arthur,1981.0,"Comedy, Drama, Romance",https://image.tmdb.org/t/p/w500/m8yOFRDVZPxtsr4D2hVdzls6q6t.jpg,2,1,1,#020101,1.2990000000000002
Arthur,2011.0,"Comedy, Romance",https://image.tmdb.org/t/p/w500/foUTAJurvnbUoIUbnuUk5dyHx7M.jpg,17,9,11,#11090b,11.62
Assault on Precinct 13,1976.0,"Thriller, Action, Crime",https://image.tmdb.org/t/p/w500/RtGDEmXbSxE8NThCCY1SXFXLLw.jpg,210,32,39,#d22027,86.02
Assault on Precinct 13,2005.0,"Thriller, Action, Adventure, Crime",https://image.tmdb.org/t/p/w500/oBpsRvMN1ONl8oFHuWt1rasDYFJ.jpg,23,23,21,#171715,22.772
Autograph,2004.0,"Romance, Drama",https://image.tmdb.org/t/p/w500/icy3xHF6LcHSys9RxNAuI4xyAW1.jpg,173,212,17,#add411,178.10899999999998
Naa Autograph,2004.0,"Family, Romance, Drama",https://image.tmdb.org/t/p/w500/s9iOis3DNbuyADpKCqpL9MAH8jK.jpg,98,87,79,#62574f,89.377
The Bad News Bears,1976.0,"Family, Comedy",https://image.tmdb.org/t/p/w500/kJNXMni0ObOXLth6v9xpUhWbtrp.jpg,63,81,47,#3f512f,71.742
Bad News Bears,2005.0,Comedy,https://image.tmdb.org/t/p/w500/ja1yrgfYAGmwnridioMY3MV0GDm.jpg,251,251,251,#fbfbfb,250.99999999999997
The Barefoot Executive,1971.0,"Comedy, Family",https://image.tmdb.org/t/p/w500/l80GlJCOFM6rE2uwiW0EMD6jAPd.jpg,43,34,32,#2b2220,36.463
The Barefoot Executive,1995.0,"Comedy, Family",https://image.tmdb.org/t/p/w500/r0kbIGAA6v7IyLKRhVguGgMm4pv.jpg,8,29,8,#081d08,20.326999999999998
Beauty and the Beast,1991.0,"Romance, Family, Animation, Fantasy",https://image.tmdb.org/t/p/w500/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,24,71,123,#18477b,62.875
Beauty and the Beast,2017.0,"Family, Fantasy, Romance",https://image.tmdb.org/t/p/w500/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,16,25,41,#101929,24.133
Bedazzled,1967.0,"Fantasy, Comedy, Romance",https://image.tmdb.org/t/p/w500/4POWJtOXt19PWfO18rHpw5GIQc6.jpg,62,53,145,#3e3591,66.179
Bedazzled,2000.0,"Fantasy, Comedy, Romance",https://image.tmdb.org/t/p/w500/sBV28EVvWsJRosMsEFCbVmpAZEl.jpg,12,6,6,#0c0606,7.794
Bedtime Story,1964.0,Comedy,https://image.tmdb.org/t/p/w500/4oN375vg2eJSHZzf9kztiwnu3jP.jpg,246,214,73,#f6d649,207.494
Dirty Rotten Scoundrels,1988.0,"Comedy, Crime",https://image.tmdb.org/t/p/w500/3176xH21fSetstKpEtAD1giHbyT.jpg,212,205,193,#d4cdc1,205.725
The Hustle,2019.0,"Comedy, Crime",https://image.tmdb.org/t/p/w500/qZniBGQRESLIfxw6GeZLZ2G1osa.jpg,177,143,58,#b18f3a,143.47599999999997
Ben Hur,2003.0,"Family, Animation",https://image.tmdb.org/t/p/w500/qyfFPvWEsUA8bo6aIJ3fjBtrM4i.jpg,207,225,229,#cfe1e5,220.07399999999998
Welcome to Collinwood,2002.0,"Comedy, Crime",https://image.tmdb.org/t/p/w500/7XyvoOopwWwDCWOcItOQiAwm30b.jpg,237,239,241,#edeff1,238.62999999999997
Big Deal on Madonna Street,1958.0,"Comedy, Crime",https://image.tmdb.org/t/p/w500/f5OxD8Nl0pR3DcYHtYhHRfpsmjl.jpg,232,222,65,#e8de41,207.09199999999998
Billa,2007.0,"Action, Thriller",https://image.tmdb.org/t/p/w500/wpvEmE3xsb1N3AmLotORbZwrdOR.jpg,242,216,162,#f2d8a2,217.61799999999997
Billa,2009.0,"Comedy, Drama",https://image.tmdb.org/t/p/w500/nmWKskigmvBow3uOP4RPQOIaUux.jpg,11,5,5,#0b0505,6.794
Black Christmas,1974.0,"Horror, Mystery, Crime",https://image.tmdb.org/t/p/w500/ym0QcbrKNujzDyAU1IHGYUdRWub.jpg,12,11,13,#0c0b0d,11.527
Black Christmas,2006.0,"Horror, Mystery",https://image.tmdb.org/t/p/w500/ggxi18MGqi0lucWvfsdYkzSdGUJ.jpg,8,3,2,#080302,4.380999999999999
Black Christmas,2019.0,"Horror, Mystery",https://image.tmdb.org/t/p/w500/iMBlUzqwpz9ffbeLsYjyHPp8tn8.jpg,9,5,4,#090504,6.082
Blazing Saddles,1974.0,"Western, Comedy",https://image.tmdb.org/t/p/w500/xDSrLJcHJpMXISPdl6sPkS5Xbu6.jpg,210,218,219,#d2dadb,215.722
Paws of Fury: The Legend of Hank,2022.0,"Animation, Adventure, Comedy, Family",https://image.tmdb.org/t/p/w500/wMDUDwAArpfGdtTTZ25SfwngGwt.jpg,72,42,33,#482a21,49.944
Blind,2011.0,Thriller,https://image.tmdb.org/t/p/w500/mAfgDfAXCXcj5lPR5DUeezFrTGA.jpg,232,227,225,#e8e3e1,228.267
The Witness,2015.0,Documentary,https://image.tmdb.org/t/p/w500/6dtcCLAsIfQaqrjtLoO3qjF3sDK.jpg,203,201,204,#cbc9cc,201.94
The Body,2012.0,"Mystery, Thriller, Drama",https://image.tmdb.org/t/p/w500/du9zczcShf4WIuljDR0Aib7AYtX.jpg,2,3,6,#020306,3.043
The Body,2019.0,"Thriller, Mystery",https://image.tmdb.org/t/p/w500/ceEmtlyvbJh1khLpSkPUKAmpPA7.jpg,7,13,13,#070d0d,11.206
